epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,25256,0.27899,0.25489,0.95376,0.98679,0.99351,0.99464,0.96713,0.25284,0.20535,0.71989,0.000515,0.000515,0.000515
62,25687.5,0.26721,0.23771,0.94637,0.99006,0.99026,0.99396,0.96512,0.25845,0.20939,0.72253,0.00049025,0.00049025,0.00049025
63,26113,0.26597,0.24914,0.93561,0.99177,0.98377,0.99258,0.97138,0.23597,0.20186,0.6973,0.0004655,0.0004655,0.0004655
64,26530.2,0.26538,0.23494,0.93368,0.99025,0.99026,0.99276,0.97221,0.22252,0.18681,0.69499,0.00044075,0.00044075,0.00044075
65,26950.2,0.26959,0.24687,0.93987,0.99348,0.98918,0.99388,0.97528,0.2222,0.18687,0.69369,0.000416,0.000416,0.000416
66,27366.1,0.25819,0.23881,0.92932,0.99335,0.99026,0.99282,0.97055,0.22733,0.17944,0.70243,0.00039125,0.00039125,0.00039125
67,27782.1,0.25687,0.23105,0.93296,0.99029,0.99336,0.99337,0.97242,0.22126,0.17929,0.69419,0.0003665,0.0003665,0.0003665
68,28199,0.25187,0.22856,0.93671,0.99003,0.99026,0.99367,0.97596,0.21114,0.17625,0.6831,0.00034175,0.00034175,0.00034175
69,28615.3,0.2533,0.23681,0.92559,0.99026,0.99001,0.99317,0.97315,0.2131,0.17618,0.68016,0.000317,0.000317,0.000317
70,29031.2,0.25105,0.22117,0.9439,0.99188,0.99026,0.9937,0.97854,0.207,0.17821,0.67911,0.00029225,0.00029225,0.00029225
71,29443.2,0.20287,0.20351,0.90188,0.9935,0.99303,0.99326,0.97521,0.23389,0.18411,0.69956,0.0002675,0.0002675,0.0002675
72,29875.7,0.19399,0.18225,0.89573,0.99281,0.99026,0.99366,0.97388,0.21559,0.18021,0.68297,0.00024275,0.00024275,0.00024275
73,30315.3,0.18937,0.17325,0.88784,0.99319,0.99351,0.99402,0.97633,0.2097,0.17934,0.67688,0.000218,0.000218,0.000218
74,30742.4,0.18627,0.17058,0.87634,0.99659,0.99026,0.99428,0.97447,0.20995,0.17531,0.67595,0.00019325,0.00019325,0.00019325
75,31157,0.18543,0.17159,0.89246,0.99651,0.99026,0.99415,0.97351,0.20729,0.16736,0.67334,0.0001685,0.0001685,0.0001685
76,31574.1,0.18401,0.16351,0.88849,0.99334,0.99026,0.99362,0.97384,0.20745,0.17488,0.67749,0.00014375,0.00014375,0.00014375
77,31984.6,0.18491,0.16687,0.89151,0.99672,0.9867,0.99244,0.97805,0.20555,0.1795,0.6838,0.000119,0.000119,0.000119
78,32399.5,0.17437,0.16319,0.87715,0.99026,0.99,0.99239,0.97786,0.20046,0.1811,0.67822,9.425e-05,9.425e-05,9.425e-05
79,32810.8,0.17159,0.15851,0.86574,0.99346,0.98595,0.99313,0.97567,0.20846,0.18541,0.68596,6.95e-05,6.95e-05,6.95e-05
80,33222.6,0.17169,0.15844,0.88638,0.99299,0.98701,0.99207,0.97584,0.19882,0.17464,0.67148,4.475e-05,4.475e-05,4.475e-05
